# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/CRYSTAL/CRYSTAL_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['sessionDurationInSecs < 2700', 'lvl0_durationInSecs > 0', '((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0)))', '((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0)))', '((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0)))', '((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0)))', '((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0)))', '((lvl5_finalScore != lvl5_finalScore) | (lvl5_completesCount != lvl5_completesCount) | ~((lvl5_finalScore == 0) & (lvl5_completesCount > 0)))', '((lvl6_finalScore != lvl6_finalScore) | (lvl6_completesCount != lvl6_completesCount) | ~((lvl6_finalScore == 0) & (lvl6_completesCount > 0)))', '((lvl7_finalScore != lvl7_finalScore) | (lvl7_completesCount != lvl7_completesCount) | ~((lvl7_finalScore == 0) & (lvl7_completesCount > 0)))', '((lvl8_finalScore != lvl8_finalScore) | (lvl8_completesCount != lvl8_completesCount) | ~((lvl8_finalScore == 0) & (lvl8_completesCount > 0)))'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (9513, 114)
# Query: sessionDurationInSecs < 2700, output_shape: (9299, 114)
# Query: lvl0_durationInSecs > 0, output_shape: (6868, 114)
# Query: ((lvl0_finalScore != lvl0_finalScore) | (lvl0_completesCount != lvl0_completesCount) | ~((lvl0_finalScore == 0) & (lvl0_completesCount > 0))), output_shape: (6007, 114)
# Query: ((lvl1_finalScore != lvl1_finalScore) | (lvl1_completesCount != lvl1_completesCount) | ~((lvl1_finalScore == 0) & (lvl1_completesCount > 0))), output_shape: (5980, 114)
# Query: ((lvl2_finalScore != lvl2_finalScore) | (lvl2_completesCount != lvl2_completesCount) | ~((lvl2_finalScore == 0) & (lvl2_completesCount > 0))), output_shape: (5944, 114)
# Query: ((lvl3_finalScore != lvl3_finalScore) | (lvl3_completesCount != lvl3_completesCount) | ~((lvl3_finalScore == 0) & (lvl3_completesCount > 0))), output_shape: (5922, 114)
# Query: ((lvl4_finalScore != lvl4_finalScore) | (lvl4_completesCount != lvl4_completesCount) | ~((lvl4_finalScore == 0) & (lvl4_completesCount > 0))), output_shape: (5871, 114)
# Query: ((lvl5_finalScore != lvl5_finalScore) | (lvl5_completesCount != lvl5_completesCount) | ~((lvl5_finalScore == 0) & (lvl5_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl6_finalScore != lvl6_finalScore) | (lvl6_completesCount != lvl6_completesCount) | ~((lvl6_finalScore == 0) & (lvl6_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl7_finalScore != lvl7_finalScore) | (lvl7_completesCount != lvl7_completesCount) | ~((lvl7_finalScore == 0) & (lvl7_completesCount > 0))), output_shape: (5854, 114)
# Query: ((lvl8_finalScore != lvl8_finalScore) | (lvl8_completesCount != lvl8_completesCount) | ~((lvl8_finalScore == 0) & (lvl8_completesCount > 0))), output_shape: (5796, 114)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['completesCount', 'finalScore']
# *arg* lvlrange = range(0, 9)
# *arg* finalfeats = ['sessionDurationInSecs', 'sum_lvl_0_to_8_completesCount', 'sum_lvl_0_to_8_finalScore']

sessionID,sessionDurationInSecs,sum_lvl_0_to_8_completesCount,sum_lvl_0_to_8_finalScore
19110109185857476,105.0,2.0,66.0
19110109190460616,74.0,0.0,0.0
19110109195442884,147.0,3.0,66.0
19110109204544436,47.0,2.0,2.0
19110109240985710,396.0,5.0,160.0
19110109263029852,93.0,1.0,36.0
19110109271911736,390.0,8.0,119.0
19110109290108220,316.0,4.0,132.0
19110109300925310,868.0,7.0,306.0
19110109301724770,995.0,13.0,305.0
19110109305396016,866.0,10.0,164.0
19110109312449930,295.0,4.0,86.0
19110109331934450,1878.0,7.0,239.0
19110109352944336,155.0,4.0,8.0
19110109360265190,570.0,7.0,236.0
19110109371912456,581.0,6.0,168.0
19110109382354056,155.0,3.0,20.0
19110109392707470,632.0,6.0,347.0
19110109410151424,42.0,1.0,4.0
19110109420924744,367.0,4.0,119.0
19110109424795130,329.0,5.0,148.0
19110109433700268,736.0,7.0,603.0
19110109455515344,276.0,4.0,132.0
19110109481041748,289.0,8.0,228.0
19110109482069024,1967.0,7.0,228.0
19110109484879860,418.0,9.0,120.0
19110109493086000,471.0,6.0,197.0
19110109504243190,161.0,4.0,66.0
19110109521272116,203.0,8.0,74.0
19110109531145236,185.0,3.0,22.0
19110109532315610,50.0,1.0,2.0
19110109544314664,47.0,1.0,36.0
19110109544352068,64.0,2.0,56.0
19110109553036216,155.0,3.0,72.0
19110109555727696,438.0,4.0,136.0
19110109565412230,232.0,2.0,66.0
19110109572447230,113.0,3.0,74.0
19110109573721624,121.0,4.0,74.0
19110109583741708,797.0,10.0,578.0
19110110001959384,631.0,7.0,180.0
19110110023664384,156.0,2.0,66.0
19110110024826200,336.0,5.0,100.0
19110110042225490,1576.0,15.0,765.0
19110110050696896,238.0,5.0,132.0
19110110070877950,203.0,4.0,96.0
19110110073135172,276.0,5.0,132.0
19110110073670520,73.0,1.0,36.0
19110110075195148,314.0,11.0,241.0
19110110075611080,267.0,4.0,120.0
19110110084625570,45.0,1.0,2.0
19110110093067056,1724.0,14.0,290.0
19110110101660110,177.0,3.0,96.0
19110110113226590,635.0,7.0,184.0
19110110113603120,173.0,3.0,48.0
19110110122651304,678.0,6.0,169.0
19110110122852212,34.0,1.0,2.0
19110110123452424,660.0,8.0,229.0
19110110124194616,974.0,13.0,216.0
19110110133235576,95.0,2.0,56.0
19110110134698096,680.0,9.0,181.0
19110110135879340,474.0,11.0,122.0
19110110140156696,137.0,5.0,96.0
19110110141113748,677.0,7.0,296.0
19110110141593320,686.0,8.0,136.0
19110110151834504,522.0,7.0,121.0
19110110153899490,482.0,5.0,66.0
19110110155216692,1031.0,9.0,136.0
19110110161476760,1250.0,5.0,184.0
19110110171302264,878.0,7.0,445.0
19110110182783504,281.0,5.0,96.0
19110110183351290,332.0,4.0,132.0
19110110183523510,679.0,7.0,121.0
19110110185730440,101.0,1.0,36.0
19110110190472556,392.0,6.0,66.0
19110110190731290,368.0,8.0,147.0
19110110195008430,643.0,7.0,308.0
19110110220366730,687.0,6.0,157.0
19110110225024310,28.0,1.0,36.0
19110110230101190,205.0,3.0,42.0
19110110231030844,630.0,15.0,169.0
19110110240473156,106.0,1.0,36.0
19110110245212730,190.0,6.0,2.0
19110110250726480,59.0,1.0,36.0
19110110251185344,339.0,3.0,70.0
19110110251404660,761.0,8.0,264.0
19110110251540920,459.0,9.0,170.0
19110110251704210,766.0,15.0,312.0
19110110253134388,31.0,1.0,36.0
19110110253940816,734.0,13.0,132.0
19110110254357770,487.0,9.0,164.0
19110110261849644,416.0,11.0,78.0
19110110271265050,1306.0,0.0,0.0
19110110271908490,590.0,9.0,236.0
19110110274019910,522.0,7.0,83.0
19110110280679704,436.0,7.0,148.0
19110110281979816,363.0,3.0,96.0
19110110284335624,146.0,2.0,36.0
19110110290172348,169.0,3.0,4.0
19110110290555104,98.0,2.0,40.0
19110110292338988,870.0,7.0,264.0
19110110293979590,544.0,4.0,85.0
19110110294281236,1066.0,7.0,171.0
19110110294717440,646.0,7.0,168.0
19110110300286590,332.0,4.0,133.0
19110110302236390,418.0,7.0,119.0
19110110302255868,19.0,1.0,36.0
19110110302683132,498.0,7.0,96.0
19110110303006036,285.0,2.0,66.0
19110110315259950,470.0,4.0,132.0
19110110320693310,154.0,2.0,66.0
19110110331554576,249.0,4.0,66.0
19110110333400852,283.0,2.0,66.0
19110110362280124,13.0,0.0,0.0
19110110363936110,213.0,2.0,29.0
19110110380665036,57.0,2.0,44.0
19110110395942944,1809.0,13.0,870.0
19110110401120430,494.0,6.0,264.0
19110110401859920,130.0,2.0,66.0
19110110402364628,73.0,2.0,2.0
19110110402689172,69.0,3.0,12.0
19110110415071860,236.0,3.0,96.0
19110110420785544,684.0,9.0,564.0
19110110432229464,221.0,5.0,14.0
19110110440827388,133.0,0.0,0.0
19110110444296430,210.0,1.0,36.0
19110110461571930,1487.0,12.0,290.0
19110110485282184,71.0,1.0,36.0
19110110514120304,1142.0,10.0,282.0
19110110514794588,297.0,3.0,84.0
19110110514915730,225.0,5.0,66.0
19110110515041780,215.0,3.0,70.0
19110110515073496,283.0,3.0,74.0
19110110515408300,274.0,3.0,96.0
19110110515714630,301.0,3.0,96.0
19110110515859010,247.0,5.0,96.0
19110110520498736,281.0,5.0,84.0
19110110520871650,306.0,5.0,66.0
19110110530728748,210.0,4.0,36.0
19110110531718056,159.0,3.0,36.0
19110110531985464,196.0,4.0,66.0
19110110533442864,183.0,2.0,66.0
19110110552085096,346.0,2.0,56.0
19110110554481530,275.0,3.0,66.0
19110110561013256,356.0,5.0,132.0
19110110561036640,98.0,3.0,36.0
19110110581610420,56.0,0.0,0.0
19110110593565296,121.0,2.0,61.0
19110110595170960,85.0,2.0,66.0
19110111020700890,254.0,5.0,214.0
19110111045622172,249.0,7.0,184.0
19110111054444920,273.0,2.0,66.0
19110111062068244,228.0,4.0,53.0
19110111063512972,521.0,6.0,78.0
19110111091244960,113.0,1.0,8.0
19110111112173530,66.0,1.0,20.0
19110111120455350,428.0,6.0,318.0
19110111141223068,480.0,13.0,278.0
19110111150882416,1475.0,5.0,148.0
19110111155455280,1180.0,4.0,146.0
19110111165070176,1092.0,5.0,170.0
19110111183427932,843.0,8.0,342.0
19110111183678708,68.0,2.0,36.0
19110111191785190,1111.0,11.0,294.0
19110111213302304,598.0,7.0,196.0
19110111213616404,24.0,1.0,2.0
19110111215083856,262.0,3.0,84.0
19110111220069924,60.0,1.0,12.0
19110111220689724,680.0,4.0,96.0
19110111223497332,75.0,2.0,66.0
19110111253565280,183.0,1.0,36.0
19110111270131732,752.0,3.0,96.0
19110111271880344,441.0,5.0,56.0
19110111274846730,313.0,2.0,39.0
19110111274969400,286.0,3.0,41.0
19110111292033864,609.0,7.0,160.0
19110111292836284,64.0,2.0,66.0
19110111302874244,302.0,3.0,96.0
19110111304668924,175.0,3.0,96.0
19110111312625504,102.0,1.0,3.0
19110111324879270,176.0,4.0,180.0
19110111343821560,397.0,6.0,56.0
19110111345308988,262.0,4.0,96.0
19110111350883416,1720.0,8.0,551.0
19110111373879364,31.0,1.0,36.0
19110111395170156,114.0,1.0,36.0
19110111403711860,517.0,7.0,180.0
19110111463547710,538.0,6.0,132.0
19110111464976830,646.0,5.0,225.0
19110111482943520,247.0,2.0,66.0
19110111501861604,1089.0,12.0,590.0
19110111503026276,1154.0,18.0,245.0
19110111512246790,183.0,3.0,48.0
19110111512322616,598.0,6.0,134.0
19110111523264030,195.0,2.0,55.0
19110111524790664,170.0,1.0,36.0
19110111525022536,1131.0,8.0,144.0
19110111525358344,174.0,1.0,36.0
19110111554470200,698.0,8.0,272.0
19110111574178850,208.0,5.0,14.0
19110111575919920,85.0,0.0,0.0
19110111582060130,134.0,3.0,66.0
19110111594838490,920.0,4.0,66.0
19110112002733984,467.0,6.0,96.0
19110112002792564,213.0,0.0,0.0
19110112012904350,1154.0,18.0,591.0
19110112025024176,500.0,9.0,120.0
19110112031747040,738.0,9.0,132.0
19110112042390296,532.0,8.0,156.0
19110112042607164,113.0,4.0,66.0
19110112055353430,534.0,6.0,96.0
19110112093209628,1433.0,14.0,700.0
19110112093282344,157.0,2.0,60.0
19110112115517390,383.0,0.0,0.0
