# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['amplitudeGoodMoveCount', 'closenessSlope', 'offsetGoodMoveCount', 'succeedCount', 'wavelengthGoodMoveCount']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_amplitudeGoodMoveCount', 'sum_lvl_0_to_16_closenessSlope', 'sum_lvl_0_to_16_offsetGoodMoveCount', 'sum_lvl_0_to_16_succeedCount', 'sum_lvl_0_to_16_wavelengthGoodMoveCount']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1254

sessionID,sum_lvl_0_to_16_amplitudeGoodMoveCount,sum_lvl_0_to_16_closenessSlope,sum_lvl_0_to_16_offsetGoodMoveCount,sum_lvl_0_to_16_succeedCount,sum_lvl_0_to_16_wavelengthGoodMoveCount
19110112572525660,26.0,-292.6418977057091,22.0,34.0,21.0
19110112580127970,14.0,-940.664333329986,14.0,22.0,12.0
19110112584533336,13.0,-645.5096084258489,15.0,37.0,10.0
19110113053499332,14.0,-639.302853651978,18.0,31.0,10.0
19110113074696300,16.0,-588.293578298779,20.0,24.0,15.0
19110113110629916,17.0,-865.1522005709111,23.0,27.0,21.0
19110113111657428,13.0,-446.3059223908844,21.0,45.0,13.0
19110113214639960,19.0,-380.37218287906074,16.0,35.0,16.0
19110113243415924,93.0,-103.9951014772712,90.0,41.0,110.0
19110113282927964,51.0,-931.9161687504387,62.0,62.0,48.0
19110113283797556,37.0,-134.3796642353331,44.0,43.0,38.0
19110113284022830,20.0,-169.45176782601953,30.0,40.0,24.0
19110113284088424,117.0,-251.28138122563857,89.0,38.0,68.0
19110113290719860,25.0,-728.4707194882221,22.0,47.0,22.0
19110113291432760,20.0,-239.02807340785589,32.0,56.0,16.0
19110113300838380,24.0,-570.1793399238891,46.0,36.0,34.0
19110113310679590,27.0,-238.99508891186107,33.0,45.0,28.0
19110113313780076,53.0,-410.74555695113906,33.0,29.0,49.0
19110113314376264,27.0,-783.6602763467415,43.0,85.0,40.0
19110113321000384,19.0,-595.2413271707437,20.0,34.0,17.0
19110113321832916,23.0,-795.1917666623103,37.0,32.0,16.0
19110113322692800,16.0,-232.727492770983,29.0,50.0,23.0
19110113325158724,20.0,-492.5436766882335,23.0,82.0,11.0
19110113330380950,24.0,-239.90393404852665,22.0,38.0,20.0
19110113402691480,41.0,-439.8372223407535,24.0,84.0,24.0
19110113473470070,20.0,-731.8917870910853,20.0,30.0,11.0
19110113480486104,25.0,-588.516788299472,27.0,50.0,22.0
19110113490772476,14.0,-1124.6127880745225,19.0,26.0,13.0
19110113554973824,15.0,-282.34219880925286,20.0,40.0,19.0
19110114043202944,18.0,-745.1643849577623,22.0,34.0,19.0
19110114175622600,20.0,-189.46409979948686,32.0,39.0,20.0
19110114222919410,18.0,-361.77529978673533,17.0,39.0,17.0
19110114365327090,10.0,-744.3222316893477,13.0,37.0,11.0
19110114391080120,16.0,-895.5973476596733,17.0,40.0,12.0
19110114440713960,19.0,-390.4040025362902,21.0,52.0,26.0
19110115083913544,21.0,-501.1555924141672,25.0,58.0,18.0
19110115172186410,35.0,-415.02585290286146,39.0,43.0,19.0
19110116105184504,19.0,-448.16204048259027,18.0,39.0,11.0
19110118204374930,32.0,-701.6961602389376,45.0,76.0,30.0
19110119141965708,57.0,-409.6176751411946,49.0,99.0,73.0
19110120545659390,33.0,-562.4182898787261,44.0,37.0,62.0
19110121154948890,15.0,-262.6835396135033,21.0,38.0,18.0
19110123154470680,11.0,-1140.2810468869873,12.0,29.0,5.0
19110207121359550,24.0,-422.64481387770263,51.0,115.0,25.0
19110207123595010,41.0,-413.62218292397387,54.0,46.0,73.0
19110207130916176,35.0,-268.93119720629466,49.0,68.0,36.0
19110207133076972,25.0,-376.0262576186336,44.0,42.0,30.0
19110207142548144,40.0,-76.88875743868898,50.0,39.0,45.0
19110207172711796,21.0,-824.1159699115792,31.0,63.0,29.0
19110207195678324,23.0,-500.93042181354156,22.0,42.0,22.0
19110207205216924,21.0,-679.5756434661556,31.0,27.0,23.0
19110208050202664,36.0,-459.81240312407186,27.0,42.0,25.0
19110208054386076,22.0,-518.9331320965516,28.0,44.0,22.0
19110208055836710,23.0,-182.57047729521037,30.0,29.0,26.0
19110208063044520,22.0,-185.76780442316277,35.0,54.0,21.0
19110208080097350,22.0,-391.70930016342743,19.0,39.0,15.0
19110208111205410,50.0,-297.2606999267264,52.0,66.0,56.0
19110208115794380,50.0,-435.4388068613932,45.0,65.0,50.0
19110208123093864,38.0,-678.7129305238358,36.0,50.0,31.0
19110208133898970,31.0,-937.5930404392833,40.0,50.0,33.0
19110208144424780,21.0,-449.87420605948097,23.0,34.0,21.0
19110208145259216,25.0,-827.7059823623372,38.0,46.0,35.0
19110208162517290,23.0,-383.0679195165152,25.0,40.0,18.0
19110208164305132,14.0,-547.9192800446036,23.0,30.0,18.0
19110208171394772,23.0,-178.09197793088947,26.0,39.0,16.0
19110208195419810,18.0,-975.7141966168416,25.0,43.0,23.0
19110208202671932,45.0,-288.2284424151234,50.0,46.0,33.0
