# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0', 'sessDuration <= 2700'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Query: sessDuration <= 2700, output_shape: (10164, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = []
# *arg* lvlrange = range(0, 1)
# *arg* finalfeats = ['count_bloom_achs', 'count_farm_achs', 'count_money_achs', 'count_pop_achs', 'sessDuration']
# Original Num Rows: 10164
# *arg* zthresh = None

sessID,num_play,count_bloom_achs,count_farm_achs,count_money_achs,count_pop_achs,sessDuration
19110102124442720,2,0,3,0,1,356.036
19110102330239184,2,0,2,2,1,407.14599999999996
19110107120307380,1,0,2,2,2,1661.1429999999998
19110107161777508,1,0,1,1,1,1105.157
19110107221233804,1,0,1,1,1,2650.0809999999997
19110107362937440,1,0,2,1,1,1227.737
19110107400851052,1,0,1,0,1,525.124
19110107403058452,1,1,4,2,3,1752.406
19110107405732990,2,1,3,2,2,1240.4589999999998
19110107444739400,1,0,1,0,1,792.405
19110107463932870,2,0,3,2,1,1638.9370000000001
19110107531332976,1,1,3,2,1,1581.8039999999999
19110107534122052,1,0,1,0,1,796.852
19110107551811296,1,1,2,1,1,1108.636
19110107552517590,1,0,1,0,1,591.56
19110107553300416,1,0,2,1,1,960.237
19110107560078310,1,0,1,1,1,696.99
19110107571110188,1,0,1,1,1,778.658
19110108082187830,1,0,2,0,1,567.886
19110108182464336,1,0,1,0,1,873.75
19110108190486948,3,0,1,0,1,1214.445
19110108195785070,1,0,1,1,1,451.55
19110108234041790,1,1,1,1,1,776.257
19110108284314920,1,0,1,1,1,319.001
19110108292533572,1,0,2,0,1,1039.715
19110108294848292,1,0,2,0,1,1013.36
19110108295264852,1,0,1,2,1,1358.366
19110108300338708,1,0,1,0,1,1027.253
19110108300465990,1,1,2,1,1,1047.751
19110108300663068,1,0,2,1,1,1046.407
19110108300860670,1,0,2,0,1,1026.031
19110108323088864,1,0,1,1,1,647.058
19110108331193136,1,0,1,0,1,622.456
19110108334813452,1,0,3,2,2,900.85
19110108364311420,1,0,1,1,1,1132.734
19110108393013180,1,1,3,1,1,1134.69
19110108394020228,1,0,2,0,1,576.998
19110108412629428,1,1,3,2,1,1073.4160000000002
